SymmetryIndex,LongestOrthogonalRatio,ratio,min_red,min_green,min_blue,max_red,max_green,max_blue,mean_red,mean_green,mean_blue,median_red,median_green,median_blue,std_red,std_green,std_blue,contrast,homogeneity,energy,correlation
0.8047209080745074,0.8210185892043161,0.022284125,0,0,0,208,208,208,54.28682040092068,54.28682040092068,54.28682040092068,37.0,37.0,37.0,44.962646269680526,44.962646269680526,44.962646269680526,1.4786680959635432,0.7250377604398852,0.052064678323453135,0.9997832061382121
0.7722734849598822,0.6756187527305683,0.025659,0,0,0,251,251,251,50.53376495576601,50.53376495576601,50.53376495576601,35.0,35.0,35.0,41.672498362800305,41.672498362800305,41.672498362800305,1.6779121524682084,0.724124906339833,0.05377034844534555,0.9997559431586056
0.5936187782533617,0.8051959270203646,0.066279375,0,0,0,255,255,255,86.11802879855159,86.11802879855159,86.11802879855159,82.0,82.0,82.0,60.63485818991976,60.63485818991976,60.63485818991976,2.52806564753965,0.6790714659166575,0.04341718550527568,0.9996852298071033
0.48781922170811365,0.7093345658298247,0.039562125,0,0,0,219,219,219,69.68420975027672,69.68420975027672,69.68420975027672,61.0,61.0,61.0,46.061015330038494,46.061015330038494,46.061015330038494,2.274407084160411,0.638563733863238,0.04511575378482091,0.9994764025009812
0.6667178811660399,0.7440569563316096,0.027493875,0,0,0,255,255,255,101.67371217528752,101.67371217528752,101.67371217528752,99.0,99.0,99.0,64.36607179964204,64.36607179964204,64.36607179964204,2.4669849859843502,0.6826756385976471,0.04356450355387447,0.9996895402199182
0.48815425944645374,0.9661990308475512,0.0177505,0,0,0,204,204,204,84.40838286245457,84.40838286245457,84.40838286245457,83.0,83.0,83.0,51.694878944185774,51.694878944185774,51.694878944185774,2.2510216137860732,0.6356586505071158,0.05224131791703937,0.9996664830025818
0.48343662413795563,0.4512559361622812,0.01697625,4,4,4,238,238,238,71.77709545197948,71.77709545197948,71.77709545197948,66.0,66.0,66.0,41.2092530687532,41.2092530687532,41.2092530687532,3.869756028791219,0.5087697641139208,0.038260827655284296,0.9994876727843548
0.4853059999185443,0.33333332645824193,0.02236225,3,3,3,183,183,183,45.25812846799107,45.25812846799107,45.25812846799107,33.0,33.0,33.0,37.022350845943194,37.022350845943194,37.022350845943194,2.045996133316142,0.6505431719693638,0.051891382514201195,0.9996630977961423
0.6095427397800142,0.9446961528654619,0.02159825,0,0,0,255,255,255,75.75386894771567,75.75386894771567,75.75386894771567,74.0,74.0,74.0,53.772924514258335,53.772924514258335,53.772924514258335,2.1150369505055124,0.7109261555207782,0.0815893361635243,0.9975614257974224
0.6493464145627762,0.7962038272225026,0.047350375,0,0,0,255,255,255,69.01654861937911,69.01654861937911,69.01654861937911,58.0,58.0,58.0,51.717212930525754,51.717212930525754,51.717212930525754,3.6860409028969725,0.6096385984820976,0.07633016897386172,0.9965287354366337
0.5928649599002652,0.9347387502238127,0.04089275,0,0,0,255,255,255,97.26471888863756,97.26471888863756,97.26471888863756,98.0,98.0,98.0,47.99007263815288,47.99007263815288,47.99007263815288,4.787464302703881,0.5061947267546199,0.044733749199701744,0.9970672326447798
0.7157321958446896,0.8970842298393517,0.05412025,0,0,0,255,255,255,89.23949907844107,89.23949907844107,89.23949907844107,84.0,84.0,84.0,47.1313494539592,47.1313494539592,47.1313494539592,5.109998265105211,0.6004346825391809,0.0864167349685507,0.9968564959770841
0.5874753918454216,0.46974932955110826,0.04896,0,0,0,255,255,255,78.62152862881264,78.62152862881264,78.62152862881264,70.0,70.0,70.0,48.55453504138833,48.55453504138833,48.55453504138833,6.423930126179945,0.6363231601069621,0.06557086217373427,0.9989008303194158
0.7016987085622806,0.8043963701593365,0.032988125,0,0,0,255,255,255,114.66626500697852,114.66626500697852,114.66626500697852,108.0,108.0,108.0,53.347940273841594,53.347940273841594,53.347940273841594,5.500745192694959,0.4696365145205304,0.040766689235867286,0.996815368287562
0.5088217963172673,0.8450126526804059,0.047882,0,0,0,255,255,255,99.7496432201384,99.7496432201384,99.7496432201384,100.0,100.0,100.0,49.503634308528824,49.503634308528824,49.503634308528824,7.661931148217186,0.5521746297702286,0.03682228143735458,0.9976532524054036
0.7414438811481678,0.5987510187469803,0.050420125,0,0,0,255,255,255,87.01868301595842,87.01868301595842,87.01868301595842,82.0,82.0,82.0,44.15913141079656,44.15913141079656,44.15913141079656,5.135226445378958,0.5598101989412418,0.0377184218063073,0.9985024994914871
0.7482666950693107,0.9331643896235708,0.044375,0,0,0,255,255,255,101.40074084507042,101.40074084507042,101.40074084507042,101.0,101.0,101.0,50.84723054133282,50.84723054133282,50.84723054133282,8.183595996473354,0.5201557519538633,0.04395166983858034,0.9955328528580618
0.7454015385961756,0.7986634102670823,0.041218125,0,0,0,255,255,255,115.35414739672575,115.35414739672575,115.35414739672575,112.0,112.0,112.0,51.70130307931254,51.70130307931254,51.70130307931254,3.856176705647528,0.5680411894694113,0.04550891365626403,0.9981811764807014
0.8080132604698143,0.8433363722286797,0.037124875,0,0,0,255,255,255,87.3211885112969,87.3211885112969,87.3211885112969,87.0,87.0,87.0,40.28857366178582,40.28857366178582,40.28857366178582,5.028700794841727,0.5961550810648666,0.04644710127177665,0.9978903227482039
0.6802325194815491,0.8688770262764479,0.058009875,0,0,0,255,255,255,73.51873136542126,73.51873136542126,73.51873136542126,67.0,67.0,67.0,51.400539874079115,51.400539874079115,51.400539874079115,6.185353672945876,0.5218768488957163,0.035366210921513166,0.9981932619922312
