SymmetryIndex,ratio,min_red,mean_red,mean_green,mean_blue,median_red,median_green,median_blue
0.8047209080745074,0.022284125,0,54.28682040092068,54.28682040092068,54.28682040092068,37.0,37.0,37.0
0.7722734849598822,0.025659,0,50.53376495576601,50.53376495576601,50.53376495576601,35.0,35.0,35.0
0.5936187782533617,0.066279375,0,86.11802879855159,86.11802879855159,86.11802879855159,82.0,82.0,82.0
0.48781922170811365,0.039562125,0,69.68420975027672,69.68420975027672,69.68420975027672,61.0,61.0,61.0
0.6667178811660399,0.027493875,0,101.67371217528752,101.67371217528752,101.67371217528752,99.0,99.0,99.0
0.48815425944645374,0.0177505,0,84.40838286245457,84.40838286245457,84.40838286245457,83.0,83.0,83.0
0.48343662413795563,0.01697625,4,71.77709545197948,71.77709545197948,71.77709545197948,66.0,66.0,66.0
0.4853059999185443,0.02236225,3,45.25812846799107,45.25812846799107,45.25812846799107,33.0,33.0,33.0
0.6095427397800142,0.02159825,0,75.75386894771567,75.75386894771567,75.75386894771567,74.0,74.0,74.0
0.6493464145627762,0.047350375,0,69.01654861937911,69.01654861937911,69.01654861937911,58.0,58.0,58.0
0.5928649599002652,0.04089275,0,97.26471888863756,97.26471888863756,97.26471888863756,98.0,98.0,98.0
0.7157321958446896,0.05412025,0,89.23949907844107,89.23949907844107,89.23949907844107,84.0,84.0,84.0
0.5874753918454216,0.04896,0,78.62152862881264,78.62152862881264,78.62152862881264,70.0,70.0,70.0
0.7016987085622806,0.032988125,0,114.66626500697852,114.66626500697852,114.66626500697852,108.0,108.0,108.0
0.5088217963172673,0.047882,0,99.7496432201384,99.7496432201384,99.7496432201384,100.0,100.0,100.0
0.7414438811481678,0.050420125,0,87.01868301595842,87.01868301595842,87.01868301595842,82.0,82.0,82.0
0.7482666950693107,0.044375,0,101.40074084507042,101.40074084507042,101.40074084507042,101.0,101.0,101.0
0.7454015385961756,0.041218125,0,115.35414739672575,115.35414739672575,115.35414739672575,112.0,112.0,112.0
0.8080132604698143,0.037124875,0,87.3211885112969,87.3211885112969,87.3211885112969,87.0,87.0,87.0
0.6802325194815491,0.058009875,0,73.51873136542126,73.51873136542126,73.51873136542126,67.0,67.0,67.0
0.7375529410169255,0.048131375,0,108.35475300674456,108.35475300674456,108.35475300674456,107.0,107.0,107.0
0.5949290624141838,0.04144025,0,118.60647860473814,118.60647860473814,118.60647860473814,121.0,121.0,121.0
0.4872717055867052,0.05032175,0,98.75989093516554,98.75989093516554,98.75989093516554,100.0,100.0,100.0
0.6622425495940436,0.067514375,0,59.719365320348444,59.719365320348444,59.719365320348444,50.0,50.0,50.0
0.8326730351304189,0.034444375,0,89.82257020679477,89.82257020679477,89.82257020679477,95.0,95.0,95.0
0.7829861349449807,0.049166,0,92.2772020637568,92.2772020637568,92.2772020637568,93.0,93.0,93.0
0.47754830648924285,0.011295125,0,80.66372660771793,80.66372660771793,80.66372660771793,77.0,77.0,77.0
0.6429927761846275,0.0226905,0,131.12133014550878,131.12133014550878,131.12133014550878,141.0,141.0,141.0
0.674528541333112,0.044775625,0,80.88690275121787,80.88690275121787,80.88690275121787,75.0,75.0,75.0
0.5001419218319554,0.053566375,0,104.91042810594021,104.91042810594021,104.91042810594021,104.0,104.0,104.0
0.8303272374441487,0.011362125,8,130.80313615044133,110.84205566006946,93.56194740567162,139.0,120.0,95.0
0.7755954989920273,0.009864166666666667,2,91.086939258258,76.283416406184,74.69413280391991,81.0,61.0,58.0
0.4980392156862745,0.008155916666666667,6,84.73465071369456,70.85525845245272,55.49679680395623,77.0,63.0,42.0
0.7123451779866649,0.0080445,7,79.30026208382539,65.87739034951416,44.335845401620155,70.0,51.0,32.0
0.4980392156862745,0.00541725,5,71.2880612857077,57.11564139246543,48.083975571861494,57.0,37.0,28.0
0.5700372916683945,0.009457333333333333,9,111.74829497391795,88.43912572254335,63.46918616946285,118.0,97.0,65.0
0.5020991042983358,0.0104475,11,142.60352556432957,117.72198691872059,91.58747307968413,151.0,128.0,88.0
0.4980392156862745,0.01157,0,111.84182872371075,92.67999135695764,73.69265701526938,109.0,91.0,65.0
0.6882525356362486,0.016584833333333333,4,92.50466791948467,68.2136465043363,53.35651800339668,87.0,65.0,45.0
0.6977053105061428,0.01470125,8,85.4321798033047,71.09253181418813,56.04179066405918,90.0,72.0,52.0
0.648368170954414,0.0093895,8,107.5233061753377,97.90795125761045,77.16804675435327,101.0,89.0,62.0
0.5183295451330272,0.013253875,3,108.27123514192391,92.4546783487848,76.25330327922966,102.0,91.0,68.0
0.6030925479140672,0.019391333333333333,11,119.0475448654038,85.42250403960533,76.48012857977791,122.0,84.0,79.0
0.6181350292818718,0.012554333333333334,9,127.00183867456124,103.29353742399702,88.42585561426334,127.0,106.0,85.0
0.7881893542678876,0.013615416666666666,9,89.05096857116627,74.80014689230957,47.33235609144046,79.0,68.0,32.0
0.6723393276486913,0.020934458333333333,5,98.75631484772913,84.42244744012564,68.4666369442725,98.0,84.0,60.0
0.4980392156862745,0.012116,3,94.8547272202047,82.9542581435017,109.70195746671068,87.0,78.0,97.0
0.6835854693843597,0.009546375,6,109.06776568767377,89.05055583925835,110.66532671651106,111.0,87.0,101.0
0.7560640161485748,0.01780525,32,181.83911814399312,184.90425576725966,159.38617355368032,189.0,192.0,155.0
0.6665592580043656,0.019849666666666668,10,122.11744739626191,95.00974827453022,104.86522653612991,121.0,88.0,102.0
0.744286719231144,0.021936333333333332,5,129.2709602789892,108.5601475482077,131.83512703429622,135.0,108.0,134.0
0.8129872793893287,0.020392,7,109.41142564077415,97.11783828625605,105.92190564927422,110.0,98.0,102.0
